
[asn.txt]                                        2008-12-14 03:45:01Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.  
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates 
on this information please contact the ARIN Registration Services Hostmaster 
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 20166                   1FBUSA-1                                           MRA33-ARIN (Tech)
 20168                   NETWORLDNOC-SLC                                    SP870-ARIN (Tech), KMA49-ARIN (Tech)
 20169                   EMPI-AS                                            TA287-ARIN (Tech)
 20170                   MARITZFENTONMO                                     CG428-ARIN (Tech), NOC1373-ARIN (Tech)
 20171                   ASN-VMC-01                                         CBU22-ARIN (Tech)
 20172                   SUREWEST-20172                                     ABUSE57-ARIN (Abuse), SBIA-ARIN (Tech)
 20173                   LACNIC-20173                                       LACNIC-ARIN (Tech)
 20175                   LXTNKYSETEL                                        SA575-ARIN (Tech)
 20176                   FNNI-AS20176                                       FAC1-ARIN (Abuse)
 20177                   EMPORIA-STATE-UNIVERSITY                           RCO14-ARIN (Tech)
 20178                   INTERNETEMC                                        LD293-ARIN (Tech)
 20179                   BONDS-AS                                           JN460-ARIN (Tech), WSG6-ARIN (Tech)
 20180                   AFRINIC-ASNBLOCK-20180                             GENER11-ARIN (Abuse)
 20181                   DIGITAL-SOLUTIONS-IP-TRANSIT                       NOC1947-ARIN (Abuse)
 20182                   TGIC-TECH                                          TELCO-ARIN (Tech)
 20183                   VERICENTER                                         ABUSE40-ARIN (Abuse), SWIPA2-ARIN (Tech)
 20184                   HARRISON-TRADING-GROUP                             JMC294-ARIN (Tech)
 20185                   GEUS-CABLE-INTERNET                                JT918-ARIN (Tech)
 20186                   BASELINE-PH                                        TT329-ARIN (Tech)
 20187                   PASSPORTHEALTH                                     MH1227-ARIN (Tech), JSU58-ARIN (Tech)
 20188                   GTESS                                              RM1356-ARIN (Tech)
 20189                   AKAMAI-AS                                          NF81-ARIN (Tech)
 20190                   PMALL-NET1                                         SDD4-ARIN (Tech)
 20191                   LACNIC-20191                                       LACNIC-ARIN (Tech)
 20192                   WEXFORDGROUP                                       TDW2-ARIN (Abuse)
 20193                   SINEWAVE                                           ABUSE1902-ARIN (Abuse), RI69-ARIN (Tech)
 20194                   BEARTECH                                           YY59-ARIN (Tech)
 20195                   SPARKLV-1                                          PJP15-ARIN (Abuse)
 20196                   OGDEN-N                                            MM1869-ARIN (Tech)
 20197                   NCRC-KANNAPOLIS                                    LCC19-ARIN (Abuse)
 20198                   CBSITE-IIR                                         CAES-ARIN (Abuse), CSO35-ARIN (Tech)
 20199                   ATLAS                                              RNOC-ARIN (Abuse)
 20200                   AMBAC-FINANCIAL-GROUP                              AL450-ARIN (Tech)
 20201                   SPACECOM                                           WV3-ARIN (Tech)
 20202                   CRUCIAL                                            NOC1855-ARIN (Tech)
 20203                   RCGINET                                            KT274-ARIN (Tech), JCH333-ARIN (Tech)
 20204                   NOVOLINK-HOUSTON                                   FLO20-ARIN (Abuse)
 20205                   AMPLEX                                             MR735-ARIN (Tech), MED40-ARIN (Tech)
 20206                   SUNDT-SDG                                          DV251-ARIN (Tech)
 20207                   LACNIC-20207                                       LACNIC-ARIN (Tech)
 20208                   WEBJOGGER                                          AG177-ARIN (Tech), MAG96-ARIN (Tech)
 20210                   PRA-INTERNATIONAL-KC                               MWO27-ARIN (Tech), MMA219-ARIN (Tech)
 20211                   HWI-ASN00                                          TJ272-ARIN (Tech)
 20212                   HISNET                                             RM4059-ARIN (Tech)
 20213                   AS-HBM-GRV                                         CGR97-ARIN (Tech)
 20214                   CCCH-AS6                                           NAPO-ARIN (Abuse), IC161-ARIN (Tech)
 20215                   SEFL                                               ZZ1558-ARIN (Tech)
 20216                   CBSITE-ASH                                         CAES-ARIN (Abuse), CSO35-ARIN (Tech)
 20217                   PERCEPTA-GW1-AS                                    PU20-ARIN (Tech)
 20218                   BLACKSUN                                           SMR13-ARIN (Tech)
 20219                   LUTHR-AS-SAN                                       NOC2443-ARIN (Abuse)
 20220                   INDIAN-WELLS                                       DW1059-ARIN (Tech)
 20221                   IATA                                               ES567-ARIN (Tech)
 20222                   PLTE                                               RL2354-ARIN (Tech)
 20223                   CBSITE-QTW                                         CAES-ARIN (Abuse), CSO35-ARIN (Tech)
 20224                   WVHTC-WHEELING-OFFICE                              MCO75-ARIN (Abuse)
 20225                   TELJET                                             DS1854-ARIN (Tech)
 20226                   ROADWAY-EXPRESS                                    BG656-ARIN (Tech), CAB18-ARIN (Tech), DL898-ARIN (Tech)
 20227                   ACCIDENTFUND-NET                                   JS2024-ARIN (Tech)
 20228                   PACNET-MX                                          MM1338-ARIN (Tech)
 20229                   MERRICK-AS                                         SFO11-ARIN (Tech), JBS198-ARIN (Tech)
 20230                   CARRINGTON-MS-LLC-2007                             RPE86-ARIN (Tech)
 20231                   ROADRUNNER-CENTRAL                                 ABUSE10-ARIN (Abuse), IPTEC-ARIN (Tech)
 20232                   LACNIC-20232                                       LACNIC-ARIN (Tech)
 20233                   AGENCY-COM-SF                                      JPD32-ARIN (Abuse)
 20234                   HNTB                                               CRI29-ARIN (Abuse), AMC84-ARIN (Tech)
 20235                   MYLANP-AS                                          RAB1252-ARIN (Tech), SG1102-ARIN (Tech)
 20236                   BEAL-SERVICE-CORPORATION                           RHBSC-ARIN (Tech)
 20237                   MRU-ASN                                            RWL7-ARIN (Abuse)
 20238                   ITC-LGCA-ORG                                       RUFFN-ARIN (Abuse)
 20240                   VENTURAFOODS                                       WM258-ARIN (Tech)
 20241                   TAEC                                               WL159-ARIN (Tech)
 20242                   NETLIBRARY-1                                       RD719-ARIN (Tech)
 20243                   UVI                                                NETWO790-ARIN (Tech), WKJ-ARIN (Tech)
 20244                   LACNIC-20244                                       LACNIC-ARIN (Tech)
 20245                   BOSTON-COLO                                        JRO120-ARIN (Tech), ARINC18-ARIN (Tech)
 20246                   AS-IMS                                             JJ576-ARIN (Tech)
 20247                   IC531954                                           SWA149-ARIN (Tech), TSA70-ARIN (Tech)
 20248                   TAKE2                                              OPERA148-ARIN (Tech)
 20249                   JEFFERIES                                          EH297-ARIN (Tech)
 20250                   RMWC-NET                                           TB778-ARIN (Tech)
 20251                   SOLARWINDSAUSTIN                                   NOC3032-ARIN (Abuse)
 20252                   JSIWMC                                             VIV3-ARIN (Tech), ISAR-ARIN (Abuse), NOC216-ARIN (Tech)
 20253                   VISA-DPS                                           SC1007-ARIN (Tech)
 20255-20256             LACNIC-20255                                       LACNIC-ARIN (Tech)
 20257                   FTC-INET                                           AE169-ARIN (Tech)
 20258                   ANALOG-DEVICES                                     ZA85-ARIN (Tech), ADA26-ARIN (Tech)
 20259                   CVW-1                                              HOSTM316-ARIN (Tech)
 20260                   TRAFFIC01                                          PM734-ARIN (Tech), NETWO444-ARIN (Tech)
 20261                   REDSQ-NET                                          JS2625-ARIN (Tech)
 20265                   UMR                                                MB1533-ARIN (Tech)
 20266                   LACNIC-20266                                       LACNIC-ARIN (Tech)
 20267                   INTERNETSERVER                                     HB138-ARIN (Tech)
 20268                   MNNS                                               BG602-ARIN (Tech)
 20269                   INI-DEL                                            TECHT1-ARIN (Tech)
 20270                   K2-ADVISORS                                        RNOC-ARIN (Tech)
 20271                   WINDWIRELESS                                       BK5-ARIN (Abuse)
 20272                   AS-BTVC                                            RM176-ARIN (Tech), ABUSE1844-ARIN (Abuse), RMC42-ARIN (Tech)
 20273                   PMCNET                                             NETWO814-ARIN (Tech)
 20274                   GENESYS-SOFT                                       MB1540-ARIN (Tech)
 20275                   SIERRA-ATLANTIC-FREMT                              SK721-ARIN (Tech), ARE12-ARIN (Tech)
 20276                   TECHSPACE-AUSTIN                                   SE253-ARIN (Tech)
 20277                   TECHSPACE-OC2                                      TNO32-ARIN (Abuse)
 20278                   TECHSPACE-TORONTO                                  SE253-ARIN (Tech)
 20279                   ESC-REGION12                                       BKR19-ARIN (Tech)
 20280                   WORLDQUEST-1                                       RP722-ARIN (Tech)
 20281                   NEXTLEVEL-TUSTIN                                   NI35-ARIN (Abuse), HKA9-ARIN (Tech)
 20282                   NYFX-RTR                                           WG130-ARIN (Tech)
 20283                   CTC-INTERNET-MN                                    JF752-ARIN (Tech)
 20284                   INETUASN1                                          MR963-ARIN (Tech), II25-ARIN (Abuse)
 20285                   PAIR-AS1                                           NETWO1970-ARIN (Tech)
 20286                   AMERICAN-COLLEGE-OF-CARDIOLOGY-DC                  TW38-ARIN (Tech)
 20287                   OFINY                                              SPL14-ARIN (Tech), TCNS-ARIN (Tech)
 20288                   UBARRY-NET                                         FM237-ARIN (Tech)
 20289                   AS-ISGNOC                                          NOM14-ARIN (Tech)
 20290                   LYNCHINC                                           DL992-ARIN (Tech)
 20291                   INFYNET                                            MJ17-ARIN (Tech)
 20292                   EXECUTIVE-CON                                      JM2433-ARIN (Tech)
 20294                   RIPE-ASNBLOCK-20294                                
 20295                   FILERTELEPHONE                                     JG1335-ARIN (Tech), RBA113-ARIN (Tech)
 20296                   EXPEDIA-ARIN                                       EXPED1-ARIN (Tech)
 20297                   LACNIC-20297                                       LACNIC-ARIN (Tech)
 20298                   TIBBANK                                            BU26-ARIN (Tech)
 20299                   LACNIC-20299                                       LACNIC-ARIN (Tech)
 20300                   GAP-INSTRUMENT-CORP                                JE79-ARIN (Tech), DDA62-ARIN (Tech)
 20301                   NASA-PROTO-NET                                     KW503-ARIN (Tech)
 20302                   RUFCORP                                            RWH77-ARIN (Tech)
 20304                   JVLNET                                             JK1220-ARIN (Tech), JK302-ARIN (Tech)
 20305                   LACNIC-20305                                       LACNIC-ARIN (Tech)
 20306                   ADELPHI                                            ABUSE1796-ARIN (Abuse), FHI5-ARIN (Tech)
 20307                   KIN-ASN                                            NETWO2117-ARIN (Tech)
 20308                   STARTEKUSA                                         JB461-ARIN (Tech)
 20309                   NASDAQFINSYS                                       NTC1-ARIN (Tech)
 20310                   ITW-CORPORATE                                      JI131-ARIN (Tech)
 20311                   VALERO                                             JS2646-ARIN (Tech), JML12-ARIN (Tech), LEG3-ARIN (Tech)
 20312                   LACNIC-20312                                       LACNIC-ARIN (Tech)
 20313                   SMSI                                               DO306-ARIN (Tech), DOT18-ARIN (Abuse)
 20314                   CONAGRAFOODS                                       JT989-ARIN (Tech)
 20315                   MCHENRY-COUNTY-AS1                                 ITMAN33-ARIN (Tech)
 20316                   SECTOR-NET1                                        AS1020-ARIN (Tech), MCA53-ARIN (Tech)
 20317                   TDECU                                              TDC7-ARIN (Abuse)
 20318                   MOONGLOBAL                                         PC41-ARIN (Tech)
 20319                   DALTON-U                                           JC1831-ARIN (Tech), NOC2664-ARIN (Abuse)
 20320                   EVENLINK                                           SM147-ARIN (Tech)
 20321                   LACNIC-20321                                       LACNIC-ARIN (Tech)
 20322                   CIFG-AS                                            DOMAI141-ARIN (Tech)
 20324                   BLOUNTSVILLE-TEL-CO                                WM260-ARIN (Tech)
 20325                   PATELCOCU                                          JS2649-ARIN (Tech)
 20326                   TERASWITCH                                         NETWO1793-ARIN (Tech)
 20327                   FORBES-COM                                         NO134-ARIN (Tech)
 20328                   COMSPAN-BANDON                                     ASB-ARIN (Abuse)
 20329                   YAS79-AS                                           PYA5-ARIN (Abuse)
 20330                   NYS-UNIFIED-COURTS                                 DD1008-ARIN (Tech)
 20331                   GMACMR                                             BA422-ARIN (Tech)
 20332                   SFSLTD                                             GE143-ARIN (Tech)
 20333                   GTCONVEYOR                                         WFM1-ARIN (Abuse)
 20334                   DDSCONNECT01                                       HM332-ARIN (Tech)
 20335                   ADVERTISING-AS                                     CY93-ARIN (Tech)
 20337                   SUNYIT-ASN                                         ETO10-ARIN (Tech), SM496-ARIN (Tech)
 20338                   AXCL                                               DF298-ARIN (Tech)
 20339                   MAREXATLANTA                                       SM1359-ARIN (Tech)
 20340                   ISPHONE-NET                                        RC1101-ARIN (Tech), MFG3-ARIN (Tech), TVA20-ARIN (Tech)
 20341                   HURRICANE-LABS-207-166-205-0                       RSOC-ARIN (Tech)
 20342                   PSKNET                                             TS1067-ARIN (Tech)
 20343                   PEPPERDINE                                         JV70-ARIN (Abuse), PNAC-ARIN (Abuse)
 20344                   SMTUSA-AS                                          CNM1-ARIN (Abuse)
 20345                   LACNIC-20345                                       LACNIC-ARIN (Tech)
 20346                   SOC-OF-ACTUARIES1                                  MD972-ARIN (Tech)
 20347                   ILINK                                              DNSAD194-ARIN (Abuse), NOCAD28-ARIN (Tech)
 20348                   ALTRIA-PRIMARY-EXTERNAL-IP-RANGE-AS                AIA11-ARIN (Tech)
 20349                   CFRDC-MFICORE                                      CSM58-ARIN (Tech)
 20350                   TDS-INTERNET-AS                                    ABUSE163-ARIN (Abuse), KR181-ARIN (Tech), SERVI6-ARIN (Tech)
 20351                   PARTS123                                           MM212-ARIN (Tech)
 20352                   LHS                                                CH147-ARIN (Tech)
 20353                   ADAGE-CAPITAL---ASN                                KAL55-ARIN (Tech)
 20354                   AVICI-SYSTEMS                                      DE65-ARIN (Tech)
 20355                   NTG-AS                                             NETWO2780-ARIN (Abuse), DCIPA-ARIN (Tech)
 20356                   BACAVALLEY-COM                                     KA288-ARIN (Tech)
 20357                   BAJA-UT-NM-CO                                      IBBSN-ARIN (Abuse)
 20358                   MBPSANTAFE                                         EG269-ARIN (Tech)
 20359                   PREFERREDMUTUALINSURANCECOMPANY                    ORGAN79-ARIN (Tech)
 20360                   PACKET360INC                                       IOC1-ARIN (Abuse)
 20361                   LACNIC-20361                                       LACNIC-ARIN (Tech)
 20362                   THOMSON-THOMSON                                    RH1104-ARIN (Tech)
 20363                   LACNIC-20363                                       LACNIC-ARIN (Tech)
 20366                   LINKEDIN-1                                         HOSTM905-ARIN (Tech)
 20368                   SMART-CITY-INDIANAPOLIS                            SCN-ARIN (Abuse), LTO7-ARIN (Tech)
 20370                   MARCHO-2                                           NETWO266-ARIN (Tech)
 20371                   LIBGO                                              EH342-ARIN (Tech)
 20372                   GOBIERNOPR-AS                                      LSA12-ARIN (Tech)
 20373                   NRWS-POP4                                          TECHN574-ARIN (Tech)
 20374                   FOX-INC                                            GC553-ARIN (Tech)
 20375                   GSALLC-ASN                                         NOC2278-ARIN (Tech), ABUSE1625-ARIN (Abuse)
 20376                   HUBRIS                                             CO70-ARIN (Tech)
 20377                   MLODE-COM                                          DM377-ARIN (Tech)
 20378                   FUSIONONE                                          KW508-ARIN (Tech)
 20379                   NET-BAKER                                          NETWO724-ARIN (Abuse), RJB39-ARIN (Tech)
 20381                   CABLELABS                                          DC377-ARIN (Tech), DNSIN1-ARIN (Tech)
 20382                   XOTECH                                             JMA376-ARIN (Tech)
 20383                   GREENBAYNET                                        EDC7-ARIN (Tech)
 20384                   NWLRBD                                             ZN62-ARIN (Tech), NSG10-ARIN (Tech)
 20385                   ACCESSLINE-COM-1000                                EH214-ARIN (Tech)
 20386                   IONEX                                              JF945-ARIN (Tech)
 20387                   KATZENBACHPARTNERSLLC                              PIB1-ARIN (Tech)
 20388                   GLORIAD                                            JLA111-ARIN (Tech)
 20389                   AS-SAVINGS                                         KO153-ARIN (Tech)
 20390                   FSS                                                JLW44-ARIN (Tech)
 20391                   PRGPARKING-DOMAIN                                  ENE8-ARIN (Tech)
 20392                   WESTPANET                                          SH1020-ARIN (Tech), ABUSE221-ARIN (Abuse), WESTP-ARIN (Tech)
 20393                   BEANSTALK                                          JR671-ARIN (Tech)
 20394                   MASHELL-TELECOM                                    NOC2015-ARIN (Abuse)
 20395                   DECORATETODAY                                      GRU10-ARIN (Tech)
 20396                   FIDMXV15                                           AAC1-ARIN (Tech)
 20397                   BOXLAKE                                            KP420-ARIN (Tech)
 20398                   CNCS-AS                                            RSA98-ARIN (Abuse)
 20399                   ASN-NET                                            CT196-ARIN (Tech)
 20400                   CUDIRECTCORPORATION                                RM1362-ARIN (Tech)
 20401                   HOSTWAY-1                                          AN94-ARIN (Tech)
 20402                   OSRAM-SYLVANIA                                     RM5926-ARIN (Tech), TONYA1-ARIN (Tech)
 20403                   DSL-ONLY-PDX                                       BT360-ARIN (Tech)
 20404                   RRIHOUSTON                                         EE126-ARIN (Tech), IR85-ARIN (Tech)
 20405                   EPLICA-AS                                          BGPAD16-ARIN (Tech)
 20406                   BRASLINK                                           FC173-ARIN (Tech)
 20409                   AUTONATION-ASP2                                    NO139-ARIN (Tech)
 20410                   BWCL-ASN                                           WT27-ARIN (Tech)
 20411                   GSSLK                                              GSABU-ARIN (Abuse), GSDNS-ARIN (Tech)
 20412                   PRAIR-2                                            ABUSE54-ARIN (Abuse), SYSTE12-ARIN (Tech)
 20413                   CCIU-1                                             KV12-ARIN (Tech)
 20415                   COUNCILROCKSD-PA                                   JCA303-ARIN (Tech)
 20416                   GCC-01                                             BB1279-ARIN (Tech)
 20417                   RINET                                              STI20-ARIN (Abuse)
 20418                   LACNIC-20418                                       LACNIC-ARIN (Tech)
 20419                   NETBLK-DMRCOM                                      DNI19-ARIN (Tech)
 20420                   BBCC-AS                                            BBCC-ARIN (Tech)
 20421                   1STTECHCU                                          PJ227-ARIN (Tech)
 20422                   PARMA-COMMUNITY-GENERAL-HOSPITAL                   JW590-ARIN (Tech)
 20423                   GILLETTE-BOS                                       IS214-ARIN (Tech)
 20424                   AMERICAN-STOCK-EXCHANGE-LLC                        LMC34-ARIN (Tech), AAA28-ARIN (Tech)
 20425                   FMF-VIRGINIA-BEACH                                 MHO49-ARIN (Tech)
 20426                   PWC-AS                                             AR401-ARIN (Tech), ABUSE2-ARIN (Abuse), TECHN-ARIN (Tech)
 20427                   AAAE                                               SL756-ARIN (Tech)
 20428                   GLOWPOINT-AS                                       GTA12-ARIN (Tech)
 20429                   GUITAR-CENTER-AS2                                  JT470-ARIN (Tech)
 20431                   SUREWEST-20431                                     ABUSE57-ARIN (Abuse), SBIA-ARIN (Tech)
 20432                   ASN-SCBC-1                                         NETWO1183-ARIN (Abuse)
 20433                   TL-MABOS                                           TT329-ARIN (Tech)
 20434                   ACELERA-NETWORKS---PUERTO-RICO                     DGA10-ARIN (Tech), NOC296-ARIN (Tech), LNM-ARIN (Tech)
 20435                   ROSE-GROVE-CAPITAL-MANAGEMENT-LLC-ASN              SPE57-ARIN (Tech)
 20436                   PGTC-COM                                           ZP100-ARIN (Tech)
 20437                   PROVIDENT-MUTUAL                                   DT569-ARIN (Tech)
 20438                   LAQUINTA                                           MB68-ARIN (Tech), FLH1-ARIN (Tech)
 20439                   PLANO-DATACENTER-AS                                INTUI2-ARIN (Abuse), INTUI1-ARIN (Tech)
 20440                   BITTO-AS1                                          BAP23-ARIN (Abuse), BTP5-ARIN (Tech)
 20441                   AFFINA-AS-1                                        NAS14-ARIN (Abuse), NETWO2221-ARIN (Tech)
 20442                   YNHHSC                                             NETWO1789-ARIN (Abuse), RBE133-ARIN (Tech)
 20443                   ONE-BUCKHEAD                                       MLA-ARIN (Tech)
 20444                   INSTILL-CORP-AS1                                   INSTI-ARIN (Tech)
 20445                   DATA1                                              ABUSE1637-ARIN (Abuse), TECHN538-ARIN (Tech)
 20446                   HIGHWINDS3                                         HAR8-ARIN (Abuse), HIA3-ARIN (Tech)
 20447                   CADMUSCOMMNET                                      EE128-ARIN (Tech)
 20448                   VPNTRANET-LLC                                      SS1568-ARIN (Tech), ABUSE157-ARIN (Abuse), TECH8-ARIN (Tech)
 20449                   EDUPOP                                             RUH-ORG-ARIN (Tech)
 20450                   THL16-ASN                                          CRL24-ARIN (Abuse)
 20451                   CPCNET                                             BM1035-ARIN (Tech)
 20452                   BSU                                                VD45-ARIN (Tech)
 20453                   ROGERS-WIRELESS                                    AS1037-ARIN (Tech), GLI18-ARIN (Tech)
 20454                   FMF-SOUTHFIELD-MI                                  MHO49-ARIN (Tech)
 20455                   NRTC-ORG                                           RG242-ARIN (Tech), JG285-ARIN (Tech)
 20456                   T6-BROADBAND                                       DDH7-ARIN (Abuse)
 20457                   INACOM-MADISON-WI-USA                              BV179-ARIN (Tech), BTV-ARIN (Tech)
 20459                   AFRINIC-ASNBLOCK-20459                             GENER11-ARIN (Abuse)
 20460                   TFBNET                                             JL1457-ARIN (Tech), JLA94-ARIN (Abuse)
 20461                   MYPT-SCH                                           JLA98-ARIN (Tech)
 20462                   KALEI-ASN                                          NETWO1635-ARIN (Tech)
 20464                   POLYCOM                                            PNO13-ARIN (Tech)
 20466                   WGBH-EDUCATIONAL-FOUNDATION                        DOL30-ARIN (Tech)
 20467                   SW-ORG-AS                                          JMA461-ARIN (Tech), NETWO2390-ARIN (Abuse)
 20468                   WINDSTREAM-COMMUNICATIONS                          WINDS1-ARIN (Abuse), WINDS-ARIN (Tech)
 20469                   TRIMETNET                                          RJ417-ARIN (Tech)
 20470                   DIRECTV-LOSANGELES                                 DOMAI41-ARIN (Tech), DT2BSO-ARIN (Abuse)
 20472                   SYNN                                               CP573-ARIN (Tech)
 20473                   AS-CHOOPA                                          ABUSE1143-ARIN (Abuse), NETWO1159-ARIN (Tech)
 20474                   NCIDATACOM                                         DJW14-ARIN (Abuse), JPA35-ARIN (Tech)
 20475                   GLOOP                                              TM1441-ARIN (Tech)
 20476                   LVLT-20476                                         APL8-ARIN (Abuse), ARINC4-ARIN (Tech), TPL1-ARIN (Tech)
 20477                   RANDOLPHTELEPHONE                                  FC253-ARIN (Tech), ZN32-ARIN (Tech)
 20478                   GENMILLS                                           SL723-ARIN (Tech)
 20479                   TCF-ASN-TCF                                        SG809-ARIN (Tech)
 20480-21503             RIPE-ASNBLOCK10                                    
 21504                   AMERICATAB                                         BA223-ARIN (Tech)
 21505                   EXENET-AS                                          JS2716-ARIN (Tech)
 21506                   LACNIC-21506                                       LACNIC-ARIN (Tech)
 21507                   HASTINGS                                           JDH77-ARIN (Tech)
 21508                   CCCH-AS5                                           NAPO-ARIN (Abuse), IC161-ARIN (Tech)
 21509                   APOLLONYC                                          BB548-ARIN (Tech), PMC307-ARIN (Abuse)
 21510                   TRISTAR                                            NOC343-ARIN (Tech)
 21511                   NCSBN                                              CM1062-ARIN (Tech)
 21513                   EPIKNETWORKS                                       NOC2612-ARIN (Abuse)
 21514                   PROXYMED                                           EG202-ARIN (Tech)
 21515                   NET-SISQTEL-NET1                                   DM1726-ARIN (Tech)
 21517                   TECHSPACE-95-MORTON                                SE253-ARIN (Tech)
 21518                   INTEGRIS-HEALTH                                    DW1102-ARIN (Tech), PLS1-ARIN (Tech)
 21519                   FISHERCOMM                                         ZF50-ARIN (Tech)
 21520                   LACNIC-21520                                       LACNIC-ARIN (Tech)
 21521                   BANCTEC                                            SWF6-ARIN (Tech)
 21522                   ROADRUNNER-MNPLS                                   ABUSE10-ARIN (Abuse), IPTEC-ARIN (Tech)
 21523                   LEASENET                                           RM1451-ARIN (Tech)
 21524                   PB                                                 LEONA4-ARIN (Tech), DMA279-ARIN (Abuse), AN302-ARIN (Tech)
 21525                   AS-SPL                                             BM107-ARIN (Tech)
 21526                   NETGATEWAY-1                                       CP580-ARIN (Tech)
 21527                   MOG                                                CR637-ARIN (Tech)
 21528                   ALASCONNECTINC                                     SC1060-ARIN (Tech), IPADM155-ARIN (Tech)
 21529                   CDC-AMN                                            JG1367-ARIN (Tech)
 21530                   EPSIIA-HEPSIIAN                                    MC1378-ARIN (Tech), JMC196-ARIN (Tech)
 21531                   CTUSA-NET                                          NST31-ARIN (Tech)
 21532                   IHE                                                RL830-ARIN (Tech)
 21533                   TERREMARK                                          VS121-ARIN (Tech)
 21534                   ADAPTION-TECHNOLOGIES                              CRI33-ARIN (Abuse)
 21535                   BALSER-COMPANIES                                   JD1036-ARIN (Tech)
 21536                   DPI-MERCHANT-SERVICES                              DF691-ARIN (Tech)
 21537                   MBPPALOALTO                                        EG269-ARIN (Tech)
 21538                   GENELOGIC-BGP                                      JO421-ARIN (Tech)
 21539                   VONAGE                                             ARINC18-ARIN (Tech)
 21540                   LEWIS-ROCALLP                                      SS1580-ARIN (Tech)
 21541                   101NETLINK                                         SJO71-ARIN (Abuse)
 21542                   ENERGYSERVICESGROUP                                LC505-ARIN (Tech), PGU14-ARIN (Abuse)
 21543                   RITEAID                                            ZR50-ARIN (Tech)
 21545                   KCOENET                                            JW1053-ARIN (Tech)
 21546                   TROUTMANSANDERSRICHMOND                            MH1678-ARIN (Tech)
 21547                   REVNETS                                            JB2363-ARIN (Tech)
 21548                   MTO                                                ABUSE1048-ARIN (Abuse), NOC1970-ARIN (Tech)
 21549                   IRON-MOUNTAIN                                      JASON15-ARIN (Tech), ARI19-ARIN (Tech)
 21550                   THEWORLD-1                                         BS25-ARIN (Abuse)
 21551                   HIGHBRIDGENY                                       AC732-ARIN (Tech), ARINO-ARIN (Tech)
 21553                   HENEGAN                                            MN398-ARIN (Tech)
 21554                   CYBERLYNK                                          MH579-ARIN (Tech), ABUSE76-ARIN (Abuse)
 21555                   LHTC                                               ITA6-ARIN (Tech)
 21556                   CAPITALPRINTING                                    TWU3-ARIN (Tech)
 21557                   CYB-BLK-1                                          CHA112-ARIN (Tech)
 21558                   SC-JOHNSON                                         JM10608-ARIN (Tech), MARKA11-ARIN (Tech)
 21559                   MICROFINANCIAL                                     CH891-ARIN (Tech)
 21560                   CAPITAL-TECHNOLOGY                                 CF146-ARIN (Tech)
 21561                   LESSCHWABMO                                        JW1333-ARIN (Tech)
 21562                   IQUEST-LB                                          RH159-ARIN (Tech)
 21563                   COVISINT                                           CPA46-ARIN (Tech)
 21564                   NS-PROVINCIAL                                      BM1289-ARIN (Tech), DPE52-ARIN (Tech)
 21565                   HTCC                                               HS283-ARIN (Tech)
 21566                   OSIRISCOMM                                         WH230-ARIN (Tech), EWF2-ARIN (Tech)
 21567                   FMF-NASHVILLE-TN                                   MHO49-ARIN (Tech)
 21568                   NYTD                                               DR977-ARIN (Tech), BCL56-ARIN (Abuse)
 21569                   SHAWGRP                                            JT1016-ARIN (Tech)
 21570                   ACI-1                                              MBG1-ARIN (Tech)
 21571                   LACNIC-21571                                       LACNIC-ARIN (Tech)
 21572                   HOLAI                                              JB2001-ARIN (Tech)
 21573                   HEALTHPARTNERS                                     TW22-ARIN (Tech)
 21574-21575             LACNIC-21574                                       LACNIC-ARIN (Tech)
 21576                   WALLINGFORD-DATA-CENTER                            KPO-ARIN (Abuse), KDS1-ARIN (Tech)
 21577                   TOLEDOTELNET                                       RR1024-ARIN (Tech), DBR95-ARIN (Tech)
 21578                   LACNIC-21578                                       LACNIC-ARIN (Tech)
 21579                   ALLC                                               MR1014-ARIN (Tech)
 21580                   DIRCON                                             ITDEP35-ARIN (Tech)
 21581                   M5HOSTING                                          ABUSE1898-ARIN (Abuse), MMC112-ARIN (Tech)
 21582                   NAU-AS                                             CVM-ARIN (Tech), ABUSE516-ARIN (Abuse)
 21583                   HOUSTON-COLO                                       JRO120-ARIN (Tech), ARINC18-ARIN (Tech)
 21584                   ACS-ACN-414                                        POLAT-ARIN (Tech)
 21585                   HWI1000                                            NETWO718-ARIN (Tech)
 21586                   SWKO                                               DB147-ARIN (Tech)
 21587                   SAI-AS                                             SS1598-ARIN (Tech)
 21588                   USH                                                JT871-ARIN (Tech)
 21589                   SCM-ASN                                            MAB27-ARIN (Tech)
 21590                   LACNIC-21590                                       LACNIC-ARIN (Tech)
 21591                   NSINOC-KC1                                         GJ190-ARIN (Tech), JNC-ARIN (Abuse)
 21592                   MGRENCODING                                        TN274-ARIN (Tech)
 21593                   ZANTAZ-US                                          RN380-ARIN (Tech)
 21594                   IBSA                                               CY99-ARIN (Tech), COMMU10-ARIN (Abuse)
 21595                   BAXTER                                             
 21596                   AHCA                                               PBU66-ARIN (Abuse)
 21597                   PEOPLESUPPORTCOM                                   RPB30-ARIN (Tech)
 21598                   PROGRESS-ENERGY                                    NM287-ARIN (Tech)
